Loss,AUC,F1-Score,PR-AUC
0.8325549364089966,0.8318367004394531,0.751950740814209,0.8219864368438721
0.8324097394943237,0.8318783044815063,0.7519863843917847,0.8220216035842896
0.8322690725326538,0.8319189548492432,0.7520171403884888,0.8220560550689697
0.8321329951286316,0.8319579362869263,0.752037525177002,0.8220882415771484
0.8320014476776123,0.8319971561431885,0.7520611882209778,0.8221224546432495
0.8318742513656616,0.8320348262786865,0.752086877822876,0.82215416431427
0.8317509889602661,0.8320714235305786,0.7521092891693115,0.8221848011016846
0.8316316604614258,0.8321071863174438,0.7521277666091919,0.8222135305404663
0.8315162658691406,0.8321419954299927,0.7521445155143738,0.8222439885139465
0.8314045071601868,0.8321771025657654,0.7521656155586243,0.8222732543945312
0.8312963247299194,0.8322093486785889,0.7521946430206299,0.8222988843917847
0.8311913013458252,0.8322422504425049,0.7522155046463013,0.8223259449005127
0.8310890793800354,0.8322736024856567,0.7522362470626831,0.8223521113395691
0.8309899568557739,0.8323050737380981,0.7522566914558411,0.8223781585693359
0.830893337726593,0.8323354125022888,0.7522757053375244,0.8224020004272461
0.830799400806427,0.8323657512664795,0.7522853016853333,0.8224282264709473
0.8307076692581177,0.8323950171470642,0.7523005604743958,0.822451651096344
0.8306182026863098,0.8324236273765564,0.7523230910301208,0.8224743008613586
0.8305310010910034,0.8324519991874695,0.7523475289344788,0.8224983811378479
0.8304459452629089,0.8324795961380005,0.7523672580718994,0.8225207924842834
0.8303627967834473,0.8325068950653076,0.7523876428604126,0.8225423097610474
0.8302814960479736,0.832533597946167,0.7524075508117676,0.822564959526062
0.8302018046379089,0.8325597047805786,0.7524210810661316,0.8225858807563782
0.8301237225532532,0.8325852751731873,0.7524357438087463,0.8226059079170227
0.8300473093986511,0.8326109647750854,0.752449631690979,0.8226269483566284
0.8299725651741028,0.8326354622840881,0.7524673342704773,0.8226471543312073
0.8298994302749634,0.8326603174209595,0.7524818181991577,0.822667121887207
0.8298278450965881,0.8326839208602905,0.7524973154067993,0.8226863145828247
0.8297577500343323,0.8327073454856873,0.7525065541267395,0.822704553604126
0.8296890258789062,0.8327304124832153,0.7525277733802795,0.8227236866950989
0.8296216130256653,0.8327538371086121,0.7525507807731628,0.8227428793907166
